team,season,points
BOS,2013,"[1, 4, 7, 8, 8, 11, 11, 12, 12, 12, 12, 15, 16, 19, 20, 20, 20, 23, 24, 27, 30, 30]"
CHI,2013,"[1, 1, 1, 2, 2, 2, 5, 8, 8, 11, 12, 12, 15, 18, 19, 22, 22, 23, 26, 26, 27, 30]"
KC,2013,"[1, 4, 7, 7, 10, 10, 10, 13, 16, 16, 19, 20, 23, 24, 25, 26, 29, 32, 35, 38, 38, 38]"
NJY,2013,"[3, 6, 6, 7, 10, 13, 16, 19, 22, 22, 25, 26, 27, 27, 30, 31, 31, 31, 31, 34, 35, 36]"
POR,2013,"[1, 4, 7, 10, 13, 13, 16, 19, 19, 22, 25, 26, 26, 26, 27, 30, 31, 34, 34, 34, 35, 38]"
RGN,2013,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 8, 9, 12, 15, 15, 18, 18, 18, 18, 18]"
WAS,2013,"[1, 2, 2, 2, 3, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 10, 13, 14]"
WNY,2013,"[0, 1, 1, 4, 7, 10, 11, 14, 17, 18, 19, 22, 22, 23, 23, 24, 27, 30, 31, 34, 35, 38]"
BOS,2014,"[0, 0, 3, 3, 3, 3, 3, 6, 6, 6, 9, 9, 10, 10, 11, 11, 11, 11, 14, 14, 14, 17, 17, 20]"
CHI,2014,"[3, 3, 3, 4, 7, 10, 13, 16, 19, 19, 19, 20, 20, 20, 21, 22, 25, 26, 27, 28, 28, 31, 34, 35]"
HOU,2014,"[0, 3, 3, 3, 3, 3, 4, 4, 4, 7, 10, 13, 13, 13, 13, 16, 17, 18, 18, 18, 18, 18, 18, 18]"
KC,2014,"[1, 1, 1, 4, 7, 7, 10, 10, 11, 12, 15, 18, 21, 24, 27, 30, 33, 33, 34, 37, 37, 38, 41, 41]"
NJY,2014,"[1, 2, 2, 2, 5, 6, 6, 7, 10, 10, 10, 10, 11, 12, 15, 16, 16, 19, 19, 22, 25, 28, 31, 34]"
POR,2014,"[3, 4, 7, 8, 8, 11, 14, 14, 14, 14, 17, 20, 20, 20, 21, 22, 25, 26, 29, 30, 30, 33, 33, 36]"
RGN,2014,"[3, 6, 9, 12, 15, 18, 21, 22, 23, 26, 29, 32, 35, 36, 39, 42, 42, 43, 46, 49, 50, 53, 54, 54]"
WAS,2014,"[0, 3, 3, 6, 6, 6, 9, 10, 13, 16, 19, 19, 19, 19, 22, 23, 26, 27, 27, 28, 31, 34, 35, 35]"
WNY,2014,"[3, 3, 4, 7, 10, 10, 10, 11, 11, 11, 14, 14, 17, 17, 20, 20, 23, 23, 24, 24, 24, 27, 27, 28]"
BOS,2015,"[0, 3, 3, 3, 6, 7, 10, 11, 11, 11, 11, 12, 12, 12, 12, 12, 15, 15, 15, 15]"
CHI,2015,"[3, 4, 7, 10, 11, 14, 15, 15, 18, 21, 22, 25, 26, 27, 27, 28, 28, 29, 32, 33]"
HOU,2015,"[3, 4, 4, 4, 5, 8, 9, 10, 13, 13, 13, 14, 17, 20, 20, 20, 20, 20, 23, 24]"
KC,2015,"[0, 0, 3, 6, 9, 10, 10, 10, 11, 11, 14, 17, 18, 18, 19, 22, 25, 28, 29, 32]"
NJY,2015,"[3, 4, 4, 4, 5, 5, 6, 7, 7, 7, 7, 10, 11, 14, 14, 17, 18, 21, 22, 22]"
POR,2015,"[3, 6, 7, 8, 8, 8, 8, 9, 10, 13, 13, 13, 13, 16, 19, 22, 22, 22, 23, 23]"
RGN,2015,"[3, 3, 3, 6, 7, 8, 11, 14, 17, 18, 21, 21, 24, 27, 30, 33, 36, 39, 40, 43]"
WAS,2015,"[0, 3, 6, 6, 7, 10, 10, 13, 14, 17, 17, 20, 21, 24, 24, 25, 28, 29, 30, 30]"
WNY,2015,"[0, 0, 3, 3, 4, 7, 10, 10, 13, 14, 14, 15, 15, 15, 18, 18, 19, 20, 20, 23]"
BOS,2016,"[0, 0, 0, 0, 0, 3, 3, 4, 4, 4, 4, 4, 4, 7, 10, 10, 10, 11, 11, 11]"
CHI,2016,"[0, 3, 6, 9, 10, 13, 14, 15, 18, 18, 18, 18, 21, 22, 25, 28, 29, 29, 30, 33]"
HOU,2016,"[3, 3, 4, 7, 7, 7, 7, 7, 7, 7, 10, 11, 12, 12, 13, 16, 19, 19, 22, 22]"
KC,2016,"[0, 1, 1, 1, 2, 2, 5, 6, 9, 10, 10, 13, 13, 16, 16, 16, 19, 22, 23, 26]"
NJY,2016,"[3, 3, 4, 4, 7, 7, 8, 9, 10, 13, 13, 16, 19, 22, 22, 22, 22, 23, 26, 26]"
ORL,2016,"[0, 3, 3, 6, 9, 12, 12, 12, 12, 15, 15, 18, 18, 18, 18, 18, 18, 19, 19, 19]"
POR,2016,"[3, 4, 7, 8, 9, 12, 13, 14, 17, 20, 23, 26, 26, 26, 29, 29, 32, 35, 38, 41]"
RGN,2016,"[0, 3, 6, 6, 7, 7, 8, 11, 12, 13, 16, 16, 17, 20, 20, 23, 24, 24, 27, 30]"
WAS,2016,"[3, 6, 9, 10, 13, 13, 14, 17, 17, 20, 23, 26, 26, 29, 32, 35, 36, 39, 39, 39]"
WNY,2016,"[3, 3, 3, 6, 6, 9, 12, 15, 15, 18, 21, 24, 25, 25, 26, 27, 28, 29, 29, 32]"
BOS,2017,"[0, 3, 6, 6, 7, 8, 8, 8, 8, 8, 9, 12, 13, 14, 14, 15, 16, 16, 16, 16, 16, 16, 19, 19]"
CHI,2017,"[0, 3, 3, 6, 7, 10, 13, 16, 17, 20, 20, 23, 24, 25, 28, 29, 29, 29, 29, 32, 35, 36, 39, 39]"
HOU,2017,"[3, 3, 6, 6, 6, 6, 6, 6, 6, 9, 10, 13, 14, 17, 20, 20, 20, 23, 23, 23, 23, 23, 23, 24]"
KC,2017,"[3, 3, 3, 4, 5, 8, 11, 11, 12, 13, 13, 13, 13, 13, 14, 14, 17, 20, 23, 23, 26, 27, 30, 31]"
NC,2017,"[3, 6, 9, 12, 12, 12, 15, 15, 18, 21, 24, 24, 27, 27, 30, 33, 36, 39, 42, 42, 45, 46, 49, 49]"
NJY,2017,"[1, 1, 4, 4, 7, 10, 10, 13, 13, 16, 16, 16, 19, 22, 23, 23, 23, 23, 26, 29, 29, 29, 30, 33]"
ORL,2017,"[0, 1, 1, 2, 5, 6, 6, 9, 12, 12, 15, 15, 16, 19, 19, 20, 23, 26, 29, 32, 35, 36, 37, 40]"
POR,2017,"[3, 3, 6, 7, 8, 9, 12, 15, 15, 15, 18, 18, 19, 22, 25, 28, 31, 31, 34, 37, 40, 43, 44, 47]"
RGN,2017,"[1, 4, 4, 5, 8, 9, 12, 12, 13, 14, 17, 20, 20, 21, 24, 24, 24, 27, 27, 27, 30, 31, 31, 34]"
WAS,2017,"[0, 1, 1, 4, 4, 4, 4, 7, 8, 11, 11, 12, 12, 12, 15, 15, 16, 16, 16, 16, 16, 19, 19, 19]"
CHI,2018,"[1, 1, 4, 7, 8, 9, 9, 10, 11, 12, 12, 15, 16, 19, 22, 22, 25, 28, 29, 30, 31, 34, 37, 37]"
HOU,2018,"[1, 2, 2, 2, 2, 5, 6, 7, 7, 10, 13, 14, 14, 17, 17, 20, 20, 23, 23, 26, 29, 29, 32, 32]"
NC,2018,"[3, 6, 9, 12, 13, 16, 17, 20, 23, 26, 29, 30, 30, 33, 36, 39, 42, 45, 46, 49, 50, 53, 54, 57]"
NJY,2018,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 9]"
ORL,2018,"[1, 1, 1, 4, 5, 8, 9, 12, 12, 15, 16, 19, 22, 22, 22, 25, 25, 28, 29, 30, 30, 30, 30, 30]"
POR,2018,"[0, 3, 6, 7, 8, 8, 9, 9, 12, 15, 15, 16, 19, 20, 20, 23, 26, 29, 29, 32, 33, 36, 39, 42]"
RGN,2018,"[3, 6, 6, 7, 10, 13, 14, 14, 17, 18, 19, 19, 20, 23, 26, 29, 29, 30, 33, 36, 37, 40, 41, 41]"
UTA,2018,"[1, 2, 2, 3, 4, 7, 8, 11, 11, 14, 17, 17, 18, 21, 21, 21, 21, 22, 25, 28, 28, 29, 32, 35]"
WAS,2018,"[0, 3, 3, 4, 5, 5, 5, 5, 8, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11]"
CHI,2019,"[1, 2, 5, 5, 8, 11, 11, 11, 11, 14, 14, 17, 20, 23, 26, 29, 29, 29, 29, 32, 35, 38, 41, 44]"
HOU,2019,"[1, 4, 4, 7, 10, 10, 11, 12, 13, 13, 13, 13, 16, 16, 19, 19, 22, 22, 22, 25, 25, 25, 26, 26]"
NC,2019,"[1, 4, 7, 8, 8, 9, 9, 12, 13, 16, 19, 22, 22, 25, 28, 28, 31, 34, 37, 40, 43, 46, 46, 49]"
NJY,2019,"[0, 0, 1, 2, 2, 2, 2, 2, 2, 5, 8, 8, 8, 8, 9, 9, 12, 13, 16, 16, 16, 19, 20, 20]"
ORL,2019,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 5, 5, 8, 8, 11, 11, 11, 14, 14, 14, 14, 14, 15, 15, 16]"
POR,2019,"[3, 4, 5, 8, 8, 11, 14, 15, 16, 19, 19, 22, 23, 26, 27, 27, 30, 33, 36, 36, 36, 39, 39, 40]"
