name,club,country
Mariana Larroquette,Orlando Pride,Argentina
Emily van Egmond,San Diego Wave,Australia
Alex Chidiac,Racing Louisville,Australia
Bruninha,NJ/NY Gotham,Brazil
Adriana,Orlando Pride,Brazil
Ary Borges,Racing Louisville,Brazil
Kerolin,North Carolina Courage,Brazil
Debinha,Kansas City Current,Brazil
Andressa Alves,Houston Dash,Brazil
Marta,Orlando Pride,Brazil
Rafaelle,Orlando Pride,Brazil
Kailen Sheridan,San Diego Wave,Canada
Allysha Chapman,Houston Dash,Canada
Gabrielle Carle,Washington Spirit,Canada
Quinn,OL Reign,Canada
Sophie Schmidt,Houston Dash,Canada
Jordyn Huitema,OL Reign,Canada
Nichelle Prince,Houston Dash,Canada
Christine Sinclair,Portland Thorns,Canada
Wang Shuang,Racing Louisville,China
Raquel Rodríguez,Portland Thorns,Costa Rica
Mille Gejl,North Carolina Courage,Denmark
Rikke Marie Madsen,North Carolina Courage,Denmark
Stine Ballisager,Kansas City Current,Denmark
Denise O'Sullivan,North Carolina Courage,Ireland
Sinead Farrelly,NJ/NY Gotham,Ireland
Marissa Sheva,Washington Spirit,Ireland
Havana Solaun,Houston Dash,Jamaica
Cheyna Matthews,Chicago Red Stars,Jamaica
Hina Sugita,Portland Thorns,Japan
Jun Endo,Angel City,Japan
Ali Riley,Angel City,New Zealand
Michelle Alozie,Houston Dash,Nigeria
Uchenna Kanu,Racing Louisville,Nigeria
Ifeoma Onumonu,NJ/NY Gotham,Nigeria
Riley Tanner,Washington Spirit,Panama
Thembi Kgatlana,Racing Louisville,South Africa
Sofia Jakobsson,San Diego Wave,Sweden
Alyssa Naeher,Chicago Red Stars,United States
Ashley Sanchez,Washington Spirit,United States
Sofia Huerta,OL Reign,United States
Naomi Girma,San Diego Wave,United States
Kelley O'Hara,NJ/NY Gotham,United States
Lynn Williams,NJ/NY Gotham,United States
Alyssa Thompson,Angel City,United States
Julie Ertz,Angel City,United States
Savannah DeMelo,Racing Louisville,United States
Sophia Smith,Portland Thorns,United States
Alana Cook,OL Reign,United States
Alex Morgan,San Diego Wave,United States
Emily Sonnett,OL Reign,United States
Megan Rapinoe,OL Reign,United States
Rose Lavelle,OL Reign,United States
Andi Sullivan,Washington Spirit,United States
Casey Murphy,North Carolina Courage,United States
Cystal Dunn,Portland Thorns,United States
Trinity Rodman,Washington Spirit,United States
Aubrey Kingsbury,Washington Spirit,United States
Kristie Mewis,NJ/NY Gotham,United States
Emily Fox,North Carolina Courage,United States
