team,player
LV,Kierstan Bell
LV,Sydney Colson
LV,Chelsea Gray
LV,Dearica Hamby
LV,Theresa Plaisance
LV,Kelsey Plum
LV,Iliana Rupert
LV,Aisha Sheppard
LV,Kiah Stokes
LV,Riquna Williams
LV,A'ja Wilson
LV,Jackie Young
CHI,Julie Allemand
CHI,Kahleah Copper
CHI,Dana Evans
CHI,Rebekah Gardner
CHI,Ruthy Hebard
CHI,Anneli Maley
CHI,Emma Meesseman
CHI,Candace Parker
CHI,Allie Quigley
CHI,Azura Stevens
CHI,Courtney Vandersloot
CHI,Li Yueru
CONN,DeWanna Bonner
CONN,DiJonai Carrington
CONN,Nia Clouden
CONN,Bria Hartley
CONN,Natisha Hiedeman
CONN,Joyner Holmes
CONN,Brionna Jones
CONN,Jonquel Jones
CONN,Alyssa Thomas
CONN,Jasmine Thomas
CONN,Courtney Williams
CONN,Kiana Williams
DAL,Veronica Burton
DAL,Charli Collier
DAL,Jasmine Dickey
DAL,Allisha Gray
DAL,Isabelle Harrison
DAL,Tyasha Harris
DAL,Awak Kuier
DAL,Marina Mabrey
DAL,Teaira McCowan
DAL,Arike Ogunbowale
DAL,Satou Sabally
DAL,Kayla Thornton
SEA,Sue Bird
SEA,Tina Charles
SEA,Briann January
SEA,Jantel Lavender
SEA,Jewell Loyd
SEA,Ezi Magbegor
SEA,Epiphanny Prince
SEA,Mercedes Russell
SEA,Breanna Stewart
SEA,Stephanie Talbot
SEA,Gabby Williams
MIN,Natalie Achonwa
MIN,Lindsay Allen
MIN,Rachel Banham
MIN,Bridget Carleton
MIN,Napheesa Collier
MIN,Damiris Dantas
MIN,Sylvia Fowles
MIN,Moriah Jefferson
MIN,Kayla McBride
MIN,Nikolina Milic
MIN,Aerial Powers
MIN,Jessica Shepard
PHX,Kristine Anigwe
PHX,Sophie Cunningham
PHX,Kaela Davis
PHX,Diamond DeShields
PHX,Skylar Diggins-Smith
PHX,Reshanda Gray
PHX,Megan Gustafson
PHX,Shey Peddy
PHX,Karlie Samuelson
PHX,Jennie Simms
PHX,Diana Taurasi
PHX,Sam Thomas
PHX,Brianna Turner
PHX,Yvonne Turner
WSH,Ariel Atkins
WSH,Shakira Austin
WSH,Alysha Clark
WSH,Natasha Cloud
WSH,Elena Delle Donne
WSH,Tianna Hawkins
WSH,Myisha Hines-Allen
WSH,Jazmine Jones
WSH,Rui Machida
WSH,Shatori Walker-Kimbrough
WSH,Evina Westbrook
WSH,Elizabeth Williams
NY,Rebecca Allen
NY,Lorela Cubaj
NY,Crystal Dangerfield
NY,Stefanie Dolson
NY,Natasha Howard
NY,Sabrina Ionescu
NY,Marine Johannes
NY,Betnijah Laney
NY,Michaela Onyenwere
NY,DiDi Richards
NY,Sami Whitcomb
NY,Jocelyn Willoughby
NY,Han Xu
LA,Lexie Brown
LA,Rae Burrell
LA,Jordin Canada
LA,Chennedy Carter
LA,Olivia Nelson-Ododa
LA,Chiney Ogwumike
LA,Nneka Ogwumike
LA,Katie Lou Samuelson
LA,Kianna Smith
LA,Brittney Sykes
LA,Kristi Toliver
LA,Jasmine Walker
ATL,Monique Billings
ATL,Maya Caldwell
ATL,Kaila Charles
ATL,Nia Coffey
ATL,AD Durr
ATL,Tiffany Hayes
ATL,Naz Hillmon
ATL,Rhyne Howard
ATL,Aari McDonald
ATL,Beatrice Mompremier
ATL,Cheyenne Parker
ATL,Kia Vaughn
ATL,Megan Walker
ATL,Kristy Wallace
ATL,Erica Wheeler
IND,Emma Cannon
IND,Rennia Davis
IND,Queen Egbo
IND,Emily Engstler
IND,Destanni Henderson
IND,Lexie Hull
IND,Kelsey Mitchell
IND,Tiffany Mitchell
IND,Khayla Pointer
IND,Danielle Robinson
IND,Alanna Smith
IND,NaLyssa Smith
IND,Victoria Vivians
