player,team_old,team_new
Alanna Smith,,CHI
Aliyah Boston,,IND
Amanda Zahui B.,,WSH
Arella Guirantes,,SEA
Ashley Joens,,DAL
Bernadett Határ,,IND
Brittney Griner,,PHX
Cayla George,,LV
Diamond Miller,,MIN
Dorka Juhász,,MIN
Dulcy Fankam Mendjiadeu,,SEA
Grace Berger,,IND
Haley Jones,,ATL
Ivana Dojkić,,SEA
Jade Melbourne,,SEA
Jordan Horston,,SEA
Kadi Sissoko,,PHX
Kia Nurse,,SEA
Laeticia Amihere,,ATL
Lauren Cox,,CONN
Layshia Clarendon,,LA
Leigha Brown,,CONN
Li Meng,,WSH
Lorela Cubaj,,ATL
Lou Lopez-Sénéchal,,DAL
Maddy Siegrist,,DAL
Morgan Bertsch,,CHI
Nikolina Milic,,MIN
Nyara Sabally,,NY
Robyn Parks,,CHI
Sika Koné,,CHI
Sug Sutton,,PHX
Victaria Saxton,,IND
Zia Cooke,,LA
