slug,id
angel-city-fc-vs-north-carolina-courage-2022-04-29,28vvenzvfdoctq6vwqkbk0k5w
portland-thorns-fc-vs-kansas-city-current-2022-04-30,292tz5ahr9fubew4dte5yxst0
chicago-red-stars-vs-racing-louisville-fc-2022-04-30,297gypkmw7a6ue5y7ccfqz7dg
washington-spirit-vs-ol-reign-2022-05-01,29c45b4h82wwikpof6hl1s9w4
houston-dash-vs-san-diego-wave-fc-2022-05-01,29gpua3xz2e8tn3c2o8jaw1lg
orlando-pride-vs-nj-ny-gotham-fc-2022-05-01,29lxq8s1jvk07sr67uj09pvro
san-diego-wave-fc-vs-nj-ny-gotham-fc-2022-05-07,29way3myyairtzuwn4xfnrl04
kansas-city-current-vs-houston-dash-2022-05-08,29ztmuige2271axq3thyv7a50
ol-reign-vs-racing-louisville-fc-2022-05-08,2a3jmppg546tcht39p0x0znkk
angel-city-fc-vs-orlando-pride-2022-05-08,2a71dyek58uaqcv0gbz9dyyvo
portland-thorns-fc-vs-ol-reign-2022-05-13,2aaifto1chyc5t3zqqje3cys4
orlando-pride-vs-kansas-city-current-2022-05-14,2ae90lmnanjntxz8qzhplnifo
racing-louisville-fc-vs-houston-dash-2022-05-14,2al1hbtt6b1cz1vvil6wnh444
washington-spirit-vs-angel-city-fc-2022-05-15,2as19pjsrre1se7gkjp7sk6j8
san-diego-wave-fc-vs-chicago-red-stars-2022-05-15,2aoels3jbg11fbszek4ley32s
north-carolina-courage-vs-orlando-pride-2022-05-18,2ax2ipt1e2hghco3ue5whhxqs
racing-louisville-fc-vs-san-diego-wave-fc-2022-05-18,2b0hx7yn5zpzplsfo1dnsd5p0
portland-thorns-fc-vs-washington-spirit-2022-05-18,2b3ywl6m3mcwsu1yk0humq7f8
portland-thorns-fc-vs-houston-dash-2022-05-21,2b7cph6btrm1glf2q9jux64no
angel-city-fc-vs-kansas-city-current-2022-05-21,2bb1di9kl0qswdxzoq7uwkcus
north-carolina-courage-vs-san-diego-wave-fc-2022-05-22,2bef00gj1yjjbtglaj8ie8owk
nj-ny-gotham-fc-vs-racing-louisville-fc-2022-05-22,2bhsue08zd5kuqfe5em4sdnv8
ol-reign-vs-washington-spirit-2022-05-22,2bl6qihyabnq0crmtn6dkm42c
orlando-pride-vs-chicago-red-stars-2022-05-22,2bovj4b5nmbovid4wu1p64t1w
ol-reign-vs-kansas-city-current-2022-05-25,2bs5gomm8ybo743uwgfo3x444
orlando-pride-vs-washington-spirit-2022-05-27,2bvi3fkb503476aymv4imem8k
chicago-red-stars-vs-portland-thorns-fc-2022-05-28,2byyxf1ntv6fhw0ucj6zv81sk
ol-reign-vs-san-diego-wave-fc-2022-05-29,2c2gnoboefq8zte8mjcpv5a8k
houston-dash-vs-north-carolina-courage-2022-05-29,2c5sss9ttyw98jt9zkih78xec
angel-city-fc-vs-nj-ny-gotham-fc-2022-05-29,2c986zjoqvdn2vdpjmeu9bytw
kansas-city-current-vs-racing-louisville-fc-2022-05-30,2ccmg3j41t3subelcngez49w4
washington-spirit-vs-chicago-red-stars-2022-06-01,2cg3cfpxu9lijllpevcb3ljpw
houston-dash-vs-orlando-pride-2022-06-03,2cl4012nhryywe5b2cumpe5uc
portland-thorns-fc-vs-angel-city-fc-2022-06-03,2conl43altlozstkvk85qj9qs
chicago-red-stars-vs-ol-reign-2022-06-04,2cryz6v1rcdset5yyis77rl04
nj-ny-gotham-fc-vs-washington-spirit-2022-06-04,2cv9gu2qt7f8np9q3lhsef21g
racing-louisville-fc-vs-north-carolina-courage-2022-06-04,2d2my6d9m4zbj5okfmrp7tqfo
kansas-city-current-vs-san-diego-wave-fc-2022-06-04,2cyp0b19ylzrgn49r37dr0e1g
angel-city-fc-vs-houston-dash-2022-06-07,2dubzs5w3m71e964c1vkvtvys
chicago-red-stars-vs-washington-spirit-2022-06-08,29sufy962xnyrn0km8q45wxec
san-diego-wave-fc-vs-portland-thorns-fc-2022-06-08,2d68i47tf9qy1t0zzxkz7agpg
washington-spirit-vs-north-carolina-courage-2022-06-11,2d9pzkusdfevqko5ql8iq8mj8
racing-louisville-fc-vs-angel-city-fc-2022-06-11,2dgks7315u361r96ordiwdf6c
kansas-city-current-vs-nj-ny-gotham-fc-2022-06-11,2dd5e4xiw02smgnj0r1cjlixg
san-diego-wave-fc-vs-ol-reign-2022-06-12,2dr1366x4qitqexrx8yqhegwk
chicago-red-stars-vs-orlando-pride-2022-06-12,2dkfcabeporo9fbyyorfq1kwk
houston-dash-vs-portland-thorns-fc-2022-06-12,2dnm8cul1wiza4iujxs2zsro4
washington-spirit-vs-racing-louisville-fc-2022-06-17,2dxpix5velh5y1tpvhyhqihas
kansas-city-current-vs-chicago-red-stars-2022-06-18,2e0yu82dpoitxye72c3bncqvo
ol-reign-vs-angel-city-fc-2022-06-18,2e4du2rthj366g0q7ijwjc4r8
portland-thorns-fc-vs-orlando-pride-2022-06-19,2e9u5ozth8wq4i8gkejijoqac
nj-ny-gotham-fc-vs-san-diego-wave-fc-2022-06-19,2edc0ljyze899b5tx5onie044
north-carolina-courage-vs-houston-dash-2022-06-19,2egvoqo5vf0qbslrdam6nophw
houston-dash-vs-kansas-city-current-2022-07-01,2eqvb0skt73ube3l2ddrukfmc
ol-reign-vs-north-carolina-courage-2022-07-01,2ek30difbqbe0ohklmejcq8lw
