result_id,player_id,avg_speed,distance_high_speed_running,distance_high_speed_sprinting,distance_jogging,distance_low_speed_sprinting,distance_walking,speed_runs,sprints,top_speed,total_distance,receptions_under_indirect_pressure,receptions_under_direct_pressure,received_offers_to_receive,linebreaks_attempted_all_lines,offers_to_receive_in_between,distributions_completed_under_pressure,offers_to_receive_in_behind,goalkeeper_defensive_actions_outside_penalty_area,linebreaks_attempted,linebreaks_attempted_attacking_line,linebreaks_attempted_attacking_line_completed,linebreaks_attempted_midfield_line_completed,linebreaks_attempted_defensive_line_completed,linebreaks_attempted_under_pressure,offers_to_receive_inside,offers_to_receive_outside,receptions_between_midfield_and_defensive_line,offers_to_receive_in_front,distributions_under_pressure,linebreaks_attempted_midfield_line,receptions_under_pressure,goalkeeper_goal_preventions,goalkeeper_defensive_actions_inside_penalty_area,receptions_under_no_pressure,linebreaks_attempted_completed,linebreaks_attempted_defensive_line,offers_to_receive_total,linebreaks_completed_under_pressure,linebreaks_completed_all_lines,linebreaks_completed_midfield_and_defensive_line,linebreaks_attempted_midfield_and_defensive_line,linebreaks_attempted_attacking_and_midfield_line,attempted_switches_of_play,completed_switches_of_play,direct_defensive_pressures_applied,defensive_pressures_applied,completed_ball_progressions,linebreaks_completed_attacking_and_midfield_line,attempted_ball_progressions,take_ons_completed,crosses_completed,crosses,passes_completed,yellow_cards,red_cards,direct_free_kicks,indirect_free_kicks,free_kicks,attempt_at_goal_inside_the_penalty_area,goals_outside_the_penalty_area,headed_attempt_at_goal,own_goals,attempt_at_goal_on_target,attempt_at_goal,assists,goals_conceded_from_attempt_at_goal_against,attempt_at_goal_outside_the_penalty_area,passes,goals,fouls_against,attempt_at_goal_outside_the_penalty_area_on_target,attempt_at_goal_off_target,goals_from_direct_free_kicks,substitutions_out,substitutions_in,time_played,penalties_scored,penalties,throw_ins,corners,goal_kicks,goals_inside_the_penalty_area,attempt_at_goal_inside_the_penalty_area_on_target,attempt_at_goal_from_free_kicks,fouls_for,offsides,attempt_at_goal_blocked,player_name,team,date
131872,252502,5.99,2172.333564,220.84722000000002,3625.909812,507.948606,3511.4707979999994,165,41,28.77,10038.51,6,0,9,1,7,9,1,0,17,5,3,6,0,3,1,19,3,12,14,11,6,0,0,21,9,1,20,1,0,0,1,3,0,0,9,21,2,3,2,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,100,0,0,14,0,0,0,0,0,0,0,0,Ali RILEY,NZL,2023-07-20T19:00:00Z
131872,252503,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annalie LONGO,NZL,2023-07-20T19:00:00Z
131872,252519,6.43,2341.053301,237.01414000000005,3590.764221,551.5965440000001,4052.9417940000003,183,40,27.15,10773.37,12,3,4,1,3,12,9,0,14,2,1,8,1,12,9,7,8,4,16,10,15,0,0,12,10,2,16,10,1,1,1,1,0,0,8,16,0,1,0,0,1,9,18,0,0,0,0,0,1,0,0,0,0,2,0,0,1,22,0,1,0,2,0,0,0,100,0,1,0,8,0,0,0,0,2,0,0,Ria PERCIVAL,NZL,2023-07-20T19:00:00Z
131872,295585,5.54,1649.667516,187.420044,3252.943932,368.345334,3819.8431739999996,149,32,28.97,9278.22,6,1,3,0,0,4,0,0,14,7,3,3,0,2,2,2,1,4,8,7,7,0,0,22,6,0,4,0,0,0,0,5,0,0,3,10,0,5,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,Maren MJELDE,NOR,2023-07-20T19:00:00Z
131872,296646,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guro PETTERSEN,NOR,2023-07-20T19:00:00Z
131872,298792,6.96,3260.985939,144.569988,4114.415223,861.590493,3277.3083570000003,268,60,28.49,11658.87,12,4,9,3,23,17,6,0,19,3,1,8,3,16,14,17,13,2,30,11,16,0,0,26,12,5,31,9,1,1,3,3,0,0,9,30,4,3,5,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,Betsy HASSETT,NZL,2023-07-20T19:00:00Z
131872,301461,5.54,2128.9558760000004,157.76918000000003,2591.126768,412.05597600000004,3990.6322000000005,169,31,26.51,9280.54,6,0,7,0,3,8,2,0,18,10,7,5,0,4,7,8,1,10,13,8,6,0,0,28,12,0,15,2,0,0,0,1,0,0,0,1,2,1,2,0,0,0,32,0,0,4,0,4,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,Katie BOWEN,NZL,2023-07-20T19:00:00Z
131872,301468,2.65,180.91209600000002,0.0,1164.3999119999999,5.764355999999999,3083.043636,28,1,20.94,4434.12,0,0,5,0,0,1,0,0,10,5,2,2,0,1,6,4,0,10,1,5,0,11,19,14,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,100,0,0,0,0,10,0,0,0,0,0,0,Victoria ESSON,NZL,2023-07-20T19:00:00Z
131872,301483,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erin NAYLER,NZL,2023-07-20T19:00:00Z
131872,321169,6.14,1387.5007,439.96066499999995,3075.33383,375.85462,3503.0001850000003,135,42,30.86,8781.65,26,4,17,0,21,12,23,0,0,0,0,0,0,0,31,13,23,0,24,0,30,0,0,2,0,0,44,0,0,0,0,0,1,1,3,12,1,0,2,0,0,2,12,0,0,0,0,0,4,0,0,0,1,4,0,0,0,16,1,0,0,3,0,1,0,86,0,0,0,0,0,1,1,0,1,1,0,Hannah WILKINSON,NZL,2023-07-20T19:00:00Z
